Date,Adj Close
1993-03-31,1.14
1993-04-01,1.16
1993-05-03,1.44
1993-06-01,1.47
1993-07-01,1.43
1993-08-02,1.46
1993-09-01,1.65
1993-10-01,1.61
1993-11-01,1.34
1993-12-01,1.34
1994-01-03,1.44
1994-02-01,1.4
1994-03-01,1.46
1994-04-04,1.79
1994-05-02,1.71
1994-06-01,1.52
1994-07-01,1.74
1994-08-01,1.7
1994-09-01,1.39
1994-10-03,1.63
1994-11-01,1.61
1994-12-01,1.65
1995-01-03,1.44
1995-02-01,1.43
1995-03-01,1.44
1995-04-03,1.41
1995-05-01,1.75
1995-06-01,2.14
1995-07-03,2.25
1995-08-01,2.4
1995-09-01,2.28
1995-10-02,2.36
1995-11-01,2.54
1995-12-01,2.52
1996-01-02,2.01
1996-02-01,2.12
1996-03-01,2.8
1996-04-01,3.26
1996-05-01,3.26
1996-06-03,3.4
1996-07-01,3.13
1996-08-01,3.94
1996-09-03,3.97
1996-10-01,3.91
1996-11-01,4.16
1996-12-02,3.44
1997-01-02,4.12
1997-02-03,4.04
1997-03-03,3.56
1997-04-01,3.59
1997-05-01,3.79
1997-06-02,4.68
1997-07-01,4.92
1997-08-01,4.93
1997-09-02,5.03
1997-10-01,3.97
1997-11-03,4.19
1997-12-01,4.61
1998-01-02,4.39
1998-02-02,4.76
1998-03-02,5.45
1998-04-01,5.79
1998-05-01,5.77
1998-06-01,6.42
1998-07-01,5.03
1998-08-03,3.79
1998-09-01,4.35
1998-10-01,5.21
1998-11-02,5.55
1998-12-01,6.75
1999-01-04,6.26
1999-02-01,6.36
1999-03-01,6.75
1999-04-01,8.88
1999-05-03,8.87
1999-06-01,9.03
1999-07-01,5.59
1999-08-02,5.5
1999-09-01,5.96
1999-10-01,6.54
1999-11-01,6.39
1999-12-01,5.83
2000-01-03,7.69
2000-02-01,8.45
2000-03-01,10.77
2000-04-03,7.27
2000-05-01,8.17
2000-06-01,9.18
2000-07-03,9.02
2000-08-01,8.81
2000-09-01,9.63
2000-10-02,10.74
2000-11-01,10.95
2000-12-01,10.64
2001-01-02,12.01
2001-02-01,11.45
2001-03-01,10.2
2001-04-02,9.3
2001-05-01,9.39
2001-06-01,11.06
2001-07-02,8.67
2001-08-01,8.11
2001-09-04,7.18
2001-10-01,8.23
2001-11-01,8.52
2001-12-03,9.16
2002-01-02,11.43
2002-02-04,11.06
2002-03-01,11.12
2002-04-01,10.97
2002-05-01,11.67
2002-06-03,11.95
2002-07-01,9.44
2002-08-01,9.66
2002-09-03,9.93
2002-10-01,11.46
2002-11-01,10.45
2002-12-02,9.8
2003-01-02,10.92
2003-02-03,11.28
2003-03-03,12.39
2003-04-01,11.3
2003-05-01,11.86
2003-06-02,11.8
2003-07-01,13.14
2003-08-01,13.65
2003-09-02,13.85
2003-10-01,15.19
2003-11-03,15.47
2003-12-01,15.94
2004-01-02,17.6
2004-02-02,17.98
2004-03-01,18.21
2004-04-01,18.71
2004-05-03,19.52
2004-06-01,20.91
2004-07-01,22.59
2004-08-02,20.79
2004-09-01,21.86
2004-10-01,25.43
2004-11-01,27.05
2004-12-01,29.98
2005-01-03,25.96
2005-02-01,24.91
2005-03-01,24.84
2005-04-01,23.81
2005-05-02,26.34
2005-06-01,24.84
2005-07-01,25.27
2005-08-01,23.58
2005-09-01,24.09
2005-10-03,27.2
2005-11-01,29.28
2005-12-01,28.86
2006-01-03,30.48
2006-02-01,34.93
2006-03-01,36.19
2006-04-03,35.84
2006-05-01,34.28
2006-06-01,36.31
2006-07-03,32.92
2006-08-01,29.82
2006-09-01,32.74
2006-10-02,36.3
2006-11-01,33.94
2006-12-01,34.06
2007-01-03,33.6
2007-02-01,29.72
2007-03-01,30.16
2007-04-02,29.83
2007-05-01,27.71
2007-06-01,25.23
2007-07-02,25.66
2007-08-01,26.49
2007-09-04,25.2
2007-10-01,25.66
2007-11-01,22.49
2007-12-03,19.69
2008-01-02,18.19
2008-02-01,17.29
2008-03-03,16.83
